Course,Department,Credits,Pre-Requisites,Co-Requisites,Semesters
EE 3373,Introduction to Programmable Controllers,Electrical &amp; Computer Engrg,3.0,EE 2110 or EE 2112 or EE 3010,,Fall
EE 3901,Design Fundamentals,Electrical &amp; Computer Engrg,2.0,EE 3131(C) and UN 1015,,"Fall, Spring"
EE 4000,Undergraduate Research,Electrical &amp; Computer Engrg,variable to   4.0;  Repeatable to a Max of 6,,,"Fall, Spring, Summer"
EE 4173,Computer System Engineering and Performance,Electrical &amp; Computer Engrg,3.0,CS 3421 and EE 3173,,"Fall, Spring"
EE 4219,Introduction to Electric Machinery and Drives,Electrical &amp; Computer Engrg,3.0,EE 2110 or EE 2112 or EE 3010,,Spring
EE 4220,Introduction to Electric Machinery and Drives Laboratory,Electrical &amp; Computer Engrg,1.0,EE 4219(C),,Spring
EE 4221,Power System Analysis 1,Electrical &amp; Computer Engrg,3.0,EE 3120 and (EE 2112 or EE 2110),,Fall
EE 4222,Power System Analysis 2,Electrical &amp; Computer Engrg,3.0,EE 4221,,Spring
EE 4226,Power Engineering Laboratory,Electrical &amp; Computer Engrg,1.0,EE 4221 and EE 4222(C),,"Spring, Summer"
EE 4227,Power Electronics,Electrical &amp; Computer Engrg,3.0,EE 3120 and (EE 3130(C) or EE 3131),,"Fall, Summer"
EE 4228,Power Electronics Lab,Electrical &amp; Computer Engrg,1.0,EE 4227(C),,Fall
EE 4231,Physical Electronics,Electrical &amp; Computer Engrg,3.0,EE 3130 or EE 3131,,"Fall, Spring"
EE 4232,Electronic Applications,Electrical &amp; Computer Engrg,3.0,EE 3130 or EE 3131,,Spring
EE 4240,Introduction to MEMS,Electrical &amp; Computer Engrg,4.0,,,Fall
EE 4252,Digital Signal Processing and its Applications,Electrical &amp; Computer Engrg,4.0,EE 3160,,Fall
EE 4253,Real Time Signal Processing,Electrical &amp; Computer Engrg,3.0,EE 4252,,Spring
EE 4256,Fourier Optics,Electrical &amp; Computer Engrg,3.0,EE 3090 or EE 3140 and EE 3160,,Fall
EE 4262,Digital and Non-linear Control,Electrical &amp; Computer Engrg,3.0,EE 3261,,Spring
EE 4271,VLSI Design,Electrical &amp; Computer Engrg,4.0,EE 3131 and EE 2174,,"Fall, Summer"
EE 4272,Computer Networks,Electrical &amp; Computer Engrg,3.0,CS 3411,,"Fall, Spring"
EE 4290,Optical Communication,Electrical &amp; Computer Engrg,3.0,EE 3291,,Spring
EE 4295,Introduction to Propulsion Systems for Hybrid Electric Vehicles,Electrical &amp; Computer Engrg,3.0,MEEM 2200 or ENG 3200,,"Fall, Summer"
EE 4296,Experimental Studies in Hybrid Electric Vehicles,Electrical &amp; Computer Engrg,3.0,,,Fall
EE 4365,In-Vehicle Communication Networks,Electrical &amp; Computer Engrg,3.0,EET 1411 or EET 1120 or EE 2111 or EE 3010 or PH 2230,,"Spring, Summer"
EE 4373,Advanced Programmable Controllers,Electrical &amp; Computer Engrg,4.0,EE 3373,,Spring
EE 4411,Engineering Electromagnetics,Electrical &amp; Computer Engrg,3.0,EE 3140,,Fall
EE 4490,Laser Systems and Applications,Electrical &amp; Computer Engrg,4.0,EE 3140,,Spring
EE 4495,Software/Hardware Design of Multimedia Systems,Electrical &amp; Computer Engrg,3.0,CS 3411 and EE 4173,,Spring
EE 4723,Network Security,Electrical &amp; Computer Engrg,3.0,EE 4272 or CS 4461,,Fall
EE 4735,Embedded Systems Engineering,Electrical &amp; Computer Engrg,3.0,(CS 1141 or EE 2241) and (EE 3170 or EE 3171 or EE 3173),,"Spring, Summer"
EE 4777,Distributed Additive Manufacturing Using Open-Source 3-D Printing,Electrical &amp; Computer Engrg,3.0,,,Fall
EE 4800,Special Topics in Electrical Engineering,Electrical &amp; Computer Engrg,variable to   4.0;  Repeatable to a Max of 6,,,On Demand
EE 4805,Electrical Engineering Project,Electrical &amp; Computer Engrg,variable to   3.0;  Repeatable to a Max of 6; Graded Pass/Fail Only,,,"Fall, Spring, Summer"
EE 4870,Special Topics in Computer Engineering,Electrical &amp; Computer Engrg,variable to   4.0;  Repeatable to a Max of 6,,,On Demand
EE 4901,EE Design Project 1,Electrical &amp; Computer Engrg,2.0,(EE 3131 or (EE 3130 and EE 3305)) and (EE 3901 or EE 4900) and (EE 3170(C) or EE 3171(C) or EE 3173(C)),,Fall
EE 4910,EE Design Project 2,Electrical &amp; Computer Engrg,2.0,EE 4901,,Spring
EET 1120,Circuits I,Electrical Engrg Technology,4.0,MA 1031(C) or MA 1032(C) or MA 1160(C) or MA 1161(C) or MA 1135(C),,Spring
EET 1411,Basic Electronics,Electrical Engrg Technology,4.0,MA 1031 or MA 1032 or MA 1160(C) or MA 1161(C) or MA 1135(C),,"Fall, Spring, Summer"
EET 2120,Circuits II,Electrical Engrg Technology,4.0,EET 1120 and (MA 1160(C) or MA 1161(C) or MA 1135(C)),,Fall
EET 2141,Digital Electronics and Microprocessor Fundamentals,Electrical Engrg Technology,4.0,EET 1120 or EET 1411,,Fall
EET 2142,Digital Design and Modeling Using VHDL,Electrical Engrg Technology,3.0,EET 2141,,Spring
EET 2220,Electronic Devices &amp; Circuits,Electrical Engrg Technology,4.0,EET 2120,,Spring
EET 2233,Electrical Machinery,Electrical Engrg Technology,4.0,EET 1411 or EET 2120(C),,"Fall, Summer"
EET 2241,C++ and Matlab Programming,Electrical Engrg Technology,3.0,MA 2160(C),,Spring
EET 2411,Digital Electronics,Electrical Engrg Technology,3.0,EET 1411 and (MA 1031(C) or MA 1032(C) or MA 1160(C) or MA 1161(C) or MA 1135(C)),,Spring
EET 2413,Data Communications,Electrical Engrg Technology,3.0,EET 1411 or EET 1120,,"Fall, Summer"
EET 3131,Instrumentation,Electrical Engrg Technology,3.0,EET 1411 or EET 2220 or PH 2230 or EE 2110 or EE 3010,,Spring
EET 3141,Computer Architecture and Design,Electrical Engrg Technology,4.0,EET 2241 and EET 2142(C),,Fall
EET 3143,Programmable Logic Devices,Electrical Engrg Technology,3.0,EET 3141,,"Fall, Spring"
EET 3225,Special Electronic Devices,Electrical Engrg Technology,4.0,EET 2220,,Fall
EET 3281,Electrical Project Development and Troubleshooting,Electrical Engrg Technology,3.0,EET 2220,,Spring
EET 3367,Communication Systems,Electrical Engrg Technology,4.0,EET 3225,,Spring
EET 3373,Introduction to Programmable Controllers,Electrical Engrg Technology,3.0,EET 1411 or (EET 2120 and EET 2141) or EET 2411 or PH 2230 or EE 2110 or EE 3010 or EE 2112,,Fall
EET 3390,Power Systems,Electrical Engrg Technology,3.0,EET 2233,,Fall
EET 4141,Microcontroller Interfacing,Electrical Engrg Technology,4.0,EET 2141 or CS 1121,,Fall
EET 4142,Digital Signal Processing Applications,Electrical Engrg Technology,3.0,EET 3367 and EET 4141,,Spring
EET 4144,Real-Time Robotics Systems,Electrical Engrg Technology,4.0,EET 1411 or EET 2220 or PH 2230 or EE 2110 or EE 3010,,On Demand
EET 4147,Industrial Robotic Vision Systems and Advanced Teach Pendant Programming,Electrical Engrg Technology,4.0,EET 4144,,"Spring, Summer"
EET 4253,LabVIEW Programming for Data Acquisition,Electrical Engrg Technology,3.0,EET 1411 or EET 2220 or EE 2110 or EE 3010 or PH 2230,,Spring
EET 4311,Advanced Circuits and Controls,Electrical Engrg Technology,4.0,EET 3131 or EET 4253,,Fall
EET 4363,Industrial Communication Protocols,Electrical Engrg Technology,3.0,EET 2413(C) or EE 3010(C) or EE 3250(C),,On Demand
EET 4365,In-Vehicle Communication Networks,Electrical Engrg Technology,3.0,EET 1411 or EET 1120 or EE 2111 or EE 3010 or PH 2230,,"Spring, Summer"
EET 4367,Wireless Communications,Electrical Engrg Technology,3.0,EET 3367 and MA 2160,,Spring
EET 4373,Advanced Programmable Controllers,Electrical Engrg Technology,4.0,EET 3373,,Spring
EET 4380,Alternative Energy Applications,Electrical Engrg Technology,3.0,EET 2233,,On Demand
EET 4460,Senior Project I,Electrical Engrg Technology,3.0,,,"Fall, Spring, Summer"
EET 4480,Senior Project II,Electrical Engrg Technology,3.0;  Repeatable to a Max of 6,EET 4460,,"Fall, Spring, Summer"
EET 4996,Special Topics in Electrical Engineering Technology,Electrical Engrg Technology,variable to   3.0;  Repeatable to a Max of 6,,,On Demand
EET 4997,Independent Study in Electrical Engineering Technology,Electrical Engrg Technology,variable to   3.0;  Repeatable to a Max of 6,,,On Demand
EET 4998,Undergraduate Research in Electrical Engineering Technology,Electrical Engrg Technology,variable to   6.0;  Repeatable to a Max of 6,,,On Demand
EET 4999,Professional Practice in Electrical Engineering Technology,Electrical Engrg Technology,1.0; Graded Pass/Fail Only,,,"Fall, Spring"
EH 1000,Introduction to Exercise Science,Kinesiology/Integ Physiology,1.0,,,Fall
EH 1010,Introduction to Sports and Fitness Management,Kinesiology/Integ Physiology,1.0,,,Fall
EH 1500,Foundations of Kinesiology,Kinesiology/Integ Physiology,3.0,,,Spring
EH 2029,Outdoor Emergency Care Training (Ski Patrol),Kinesiology/Integ Physiology,2.0,PE 2028,,Fall
EH 2050,Sports and Fitness Leadership,Kinesiology/Integ Physiology,2.0,,,Fall - Offered alternate years beginning with the 2015-2016 academic year 
EH 2100,Principles of Sports Officiating,Kinesiology/Integ Physiology,2.0,,,Fall - Offered alternate years beginning with the 2014-2015 academic year 
EH 2470,Lifeguard First Aid,Kinesiology/Integ Physiology,1.0,,PE 1470,Spring
EH 2580,Water Safety Instructor,Kinesiology/Integ Physiology,1.0,,PE 1580,Spring
EH 2800,Health Promotion,Kinesiology/Integ Physiology,2.0,EH 1500,,Fall
EH 3000,Master Student Athlete,Kinesiology/Integ Physiology,1.0,,,Fall
EH 3010,Sports Psychology,Kinesiology/Integ Physiology,3.0,PSY 2000,,"Fall, Spring, Summer"
EH 3020,Foundations of Coaching,Kinesiology/Integ Physiology,3.0,,,"Fall, Summer"
EH 3030,Methods of Coaching,Kinesiology/Integ Physiology,2.0,,,Spring - Offered alternate years beginning with the 2013-2014 academic year 
EH 3050,Introduction to Athletic Training,Kinesiology/Integ Physiology,3.0,,,"Fall, Spring"
EH 3060,Sports Medicine Practicum,Kinesiology/Integ Physiology,variable to   2.0;  Repeatable to a Max of 2,,,"Fall, Spring"
EH 3070,Sports Administration,Kinesiology/Integ Physiology,2.0,,,Spring - Offered alternate years beginning with the 2011-2012 academic year 
EH 3080,Facilities &amp; Events Management,Kinesiology/Integ Physiology,2.0,,,Fall - Offered alternate years beginning with the 2015-2016 academic year 
EH 3100,Exercise Assessment and Prescription,Kinesiology/Integ Physiology,3.0,BL 2020 and BL 2021,,Spring
EH 3690,Medical First Responder,Kinesiology/Integ Physiology,1.0,,PE 1690,On Demand
EH 3700,Lifetime Fitness,Kinesiology/Integ Physiology,3.0,,,Summer
EH 3820,Personal Training,Kinesiology/Integ Physiology,2.0,BL 2020 and BL 2021 and EH 3100,,Spring
EH 4100,Coaching Practicum,Kinesiology/Integ Physiology,2.0,EH 3010 and EH 3020,,"Fall, Spring, Summer"
EH 4200,Sports Nutrition Seminar,Kinesiology/Integ Physiology,2.0,BL 2940,,"Fall, Spring"
EH 4210,Exercise Physiology,Kinesiology/Integ Physiology,3.0,BL 2020 and BL 2021,EH 4211,Fall
EH 4211,Exercise Physiology Laboratory,Kinesiology/Integ Physiology,1.0,,EH 4210,Fall
EH 4220,EKG Interpretation,Kinesiology/Integ Physiology,2.0,BL 2020 and BL 2021,,Spring
EH 4400,Motor Learning and Control,Kinesiology/Integ Physiology,3.0,EH 1500 and BL 2020,,Fall
EH 4420,Motor Development,Kinesiology/Integ Physiology,3.0,EH 1500 and BL 2020,,Spring
EH 4500,Biomechanics of Human Movement,Kinesiology/Integ Physiology,3.0,BL 2020 and EH 1500 and PH 1110 and PH 1111,EH 4511,Fall
EH 4510,Strength and Conditioning,Kinesiology/Integ Physiology,3.0,BL 2020 and BL 2021,,On Demand
EH 4511,Biomechanics of Human Movement Laboratory,Kinesiology/Integ Physiology,1.0,BL 2020 and EH 1500 and PH 1110 and PH 1111,EH 4500,Fall
EH 4600,Sports and Fitness Promotions,Kinesiology/Integ Physiology,2.0,MKT 3000,,Fall - Offered alternate years beginning with the 2011-2012 academic year 
EH 4620,Legal Issues in Sports and Fitness Management,Kinesiology/Integ Physiology,2.0,,,Fall - Offered alternate years beginning with the 2012-2013 academic year 
EH 4700,Physical Therapy Seminar,Kinesiology/Integ Physiology,1.0,BL 2020 and BL 2021,,Spring - Offered alternate years beginning with the 2014-2015 academic year 
EH 4710,Stress Physiology,Kinesiology/Integ Physiology,2.0,BL 2020 and BL 2021,,On Demand
EH 4711,Sports Medicine and Ethics,Kinesiology/Integ Physiology,3.0,,,On Demand
EH 4720,Sleep and Circadian Physiology,Kinesiology/Integ Physiology,3.0,BL 2020 and BL 2021,,On Demand
EH 4730,Neuroendocrine Physiology,Kinesiology/Integ Physiology,3.0,BL 2020 and BL 2021,,On Demand
EH 4740,Exercise Pharmacology,Kinesiology/Integ Physiology,2.0,BL 2020 and BL 2021,,Spring
EH 4750,Molecular Exercise Physiology,Kinesiology/Integ Physiology,2.0,BL 2020 and BL 2021 and BL 2200,,Fall
EH 4760,Computational Biomechanics,Kinesiology/Integ Physiology,3.0,EH 4500,,On Demand
EH 4770,Specificity of Exercise Assessment &amp; Prescription,Kinesiology/Integ Physiology,3.0,EH 3100,,On Demand
EH 4800,Internship in Sports and Fitness Management,Kinesiology/Integ Physiology,variable to  12.0;  Repeatable to a Max of 12,EH 4850,,"Fall, Spring, Summer"
EH 4850,Professionalism in Kinesiology,Kinesiology/Integ Physiology,1.0,,,Fall
EH 4900,Internship in Exercise Science,Kinesiology/Integ Physiology,variable to   9.0;  Repeatable to a Max of 9,EH 4850,,"Fall, Spring, Summer"
EH 4950,Special Topics in Physical Activity,Kinesiology/Integ Physiology,variable to   9.0;  Repeatable to a Max of 9,,,"Fall, Spring, Summer"
EH 4990,Special Topics in Exercise Science,Kinesiology/Integ Physiology,variable to   9.0;  Repeatable to a Max of 9,,,"Fall, Spring, Summer"
EH 4995,Research in Kinesiology,Kinesiology/Integ Physiology,variable to   3.0;  Repeatable to a Max of 9,,,"Fall, Spring, Summer"
ENG 1001,Engineering Problem Solving,Engineering Fundamentals,2.0,(MA 1031(C) or MA 1032(C)) and (Spatial Visualization Score >= 19 or ENG 1002(C)),,Fall
ENG 1002,Introduction to 3-D Spatial Visualization,Engineering Fundamentals,1.0,,,"Fall, Spring"
ENG 1003,Introduction to Computer Aided Drafting,Engineering Fundamentals,1.0,ENG 1002 or ENG 1100 or ENG 1101,,Spring
ENG 1100,Engineering Analysis,Engineering Fundamentals,2.0,ENG 1001 and (MA 1160(C) or MA 1161(C)) and (Spatial Visualization Score >= 19 or ENG 1002(C)),,Spring
ENG 1101,Engineering Analysis and Problem Solving,Engineering Fundamentals,3.0,(MA 1160(C) or MA 1161(C) or MA 2160(C) or MA 3160(C)) and (Spatial Visualization Score >= 19 or ENG 1002(C)),,"Fall, Spring, Summer"
ENG 1102,Engineering Modeling and Design,Engineering Fundamentals,3.0,(MA 1160 or MA 1161 or MA 2160(C) or MA 3160(C)) and (ENG 1101 or (ENG 1001 and ENG 1100)) and (Spatial Visualization Score >= 19 or ENG 1002),,"Fall, Spring, Summer"
ENG 1990,Special Topics in Engineering,Engineering Fundamentals,variable to   5.0;  Repeatable to a Max of 6,,,On Demand
ENG 2120,Statics-Strength of Materials,Engineering Fundamentals,4.0,MA 2160 and PH 2100 and ENG 1102,,Spring
ENG 2990,Special Topics in Engineering,Engineering Fundamentals,variable to   5.0;  Repeatable to a Max of 6,,,On Demand
ENG 3200,Thermodynamics/Fluid Mechanics,Engineering Fundamentals,4.0,MA 2160 and CH 1112 or (CH 1150 and CH 1151) and PH 2100 and ENG 1102,,"Fall, Spring"
ENG 3990,Special Topics in Engineering,Engineering Fundamentals,variable to   5.0;  Repeatable to a Max of 6,,,On Demand
ENG 4300,Engineering Project Management,Engineering Fundamentals,3.0,BUS 2100 or CE 3710 or MA 2720 or MA 3710 or EE 3180 or BE 2100,,Summer
ENG 4510,Sustainable Futures I,Engineering Fundamentals,3.0,,,Fall
ENG 4900,Multidisciplinary Senior Design Project I,Engineering Fundamentals,variable to   4.0,,,On Demand
ENG 4905,Senior Engineering Design Project,Engineering Fundamentals,variable to   4.0,,,On Demand
ENG 4910,Multidisciplinary Senior Design Project II,Engineering Fundamentals,variable to   4.0,ENG 4900,,On Demand
ENG 4990,Special Topics in Engineering,Engineering Fundamentals,variable to   3.0;  Repeatable to a Max of 6,,,On Demand
ENT 1960,Enterprise Orientation-Spring,Enterprise,1.0,,,"Fall, Spring, Summer"
ENT 2950,Enterprise Project Work I,Enterprise,1.0,,,"Fall, Spring, Summer"
ENT 2960,Enterprise Project Work II,Enterprise,1.0,,,"Fall, Spring, Summer"
ENT 2961,Teaming in the Enterprise,Enterprise,2.0,,,Fall
ENT 2962,Communication Contexts,Enterprise,1.0,UN 1025,,Spring
ENT 3950,Enterprise Project Work III,Enterprise,1.0,,,"Fall, Spring, Summer"
ENT 3953,"Ignite: Ideate, Innovate, Create!",Enterprise,2.0,,,"Fall, Spring"
ENT 3954,Enterprise Market Principles,Enterprise,1.0,,,"Fall, Spring"
ENT 3956,Industrial Health and Safety,Enterprise,1.0,,,Fall
ENT 3958,Ethics in Engineering Design and Implementation,Enterprise,1.0,ENG 1101 or (ENG 1001 and ENG 1100),,"Fall, Spring"
ENT 3959,Fundamentals of Six Sigma I,Enterprise,1.0,,,Fall
ENT 3960,Enterprise Project Work IV,Enterprise,1.0,,,"Fall, Spring, Summer"
ENT 3961,Enterprise Strategic Leadership,Enterprise,1.0,ENT 2961 and (EC 2001 or PSY 2000 or SS 2100 or SS 2200 or SS 2400 or SS 2500 or SS 2501 or SS 2502 or SS 2503 or SS 2504 or SS 2505 or SS 2600 or SS 2700),,Spring
ENT 3962,Communication Strategies,Enterprise,1.0,ENT 2962,,Spring
ENT 3963,"Deliver: Explore, Develop, Execute!",Enterprise,2.0,,,Spring
ENT 3964,Project Management,Enterprise,1.0,,,"Fall, Spring, Summer"
ENT 3966,Design for Manufacturing,Enterprise,1.0,ENG 1102,,Spring
ENT 3967,Six Sigma II,Enterprise,1.0,,,Spring
ENT 3970,Enterprise Special Topics,Enterprise,1.0;  May be repeated,,,"Fall, Spring, Summer"
ENT 3971,Seven Habits of Highly Effective People,Enterprise,1.0,,,Spring
ENT 3974,Fuel Cell Fundamentals,Enterprise,1.0,CH 1112 or (CH 1150 and CH 1151),,Fall
ENT 3976,Personal Brand Management,Enterprise,1.0,,,Spring
ENT 3979,Alternative Energy Technologies and Processes,Enterprise,1.0,CH 1112 or (CH 1150 and CH 1151) and (MA 1160 or MA 1161),,Fall - Offered alternate years beginning with the 2016-2017 academic year 
ENT 3980,Pre-Capstone Enterprise Project Work,Enterprise,1.0;  Repeatable to a Max of 2,ENT 3950 and ENT 3960,,"Fall, Spring, Summer"
ENT 3982,Continuous Improvement Using Lean Principles,Enterprise,1.0,,,Fall
ENT 3983,The Culture of Continuous Improvement,Enterprise,1.0,,,Spring
ENT 3984,Lean Six Sigma Principles,Enterprise,3.0,,,Fall
ENT 3985,Lean Six Sigma Certification Project Execution,Enterprise,3.0,ENT 3984,,Spring
ENT 3987,Naval Systems and Platforms,Enterprise,2.0,,,"Fall, Spring"
ENT 4900,Senior Enterprise Project Work V Non-Capstone,Enterprise,2.0,,,"Fall, Spring, Summer"
ENT 4910,Senior Enterprise Project Work VI Non-Capstone,Enterprise,2.0,,,"Fall, Spring, Summer"
ENT 4950,Enterprise Project Work V Capstone,Enterprise,2.0,(BE 3350 and BE 3700 and BE 3800 and BE 4900) or (CE 3620 or CE 3810 and CE 3331) or CM 4855(C) or (CS 4710 or CS 4711 or CS 4712) or (EE 3131 or (EE 3130 and EE 3305)) and (EE 4900 or EE 3901) and (EE 3171(C) or EE 3173(C) or EE 3170(C)) or (MEEM 3000(C) and MEEM 3900 and MEEM 3502(C)) or (MA 3710 and MEEM 3750(C) and MEEM 3201(C) and MEEM 3911) or (MY 3110 and MY 3200 and MY 3210 and MY 3300 and MY 3410) or CMG 4210(C) or EET 4253(C) or MET 4460(C) or SAT 4541(C) or SU 4100(C),,"Fall, Spring, Summer"
ENT 4951,Business Plans and Budgeting in the Enterprise,Enterprise,1.0,,,Spring
ENT 4954,Global Competition,Enterprise,1.0,ENT 2961 and (EC 2001 or PSY 2000 or SS 2100 or SS 2200 or SS 2400 or SS 2500 or SS 2501 or SS 2502 or SS 2503 or SS 2504 or SS 2505 or SS 2600 or SS 2700),,Fall
ENT 4960,Enterprise Project Work VI Capstone,Enterprise,2.0,ENT 4950,,"Fall, Spring, Summer"
ENT 4961,Enterprise Project Work VII,Enterprise,1.0;  Repeatable to a Max of 2,ENT 3950 and ENT 3960 and ENT 4950 and ENT 4960,,"Fall, Spring, Summer"
ENT 4970,Enterprise Special Topics,Enterprise,1.0;  May be repeated,,,"Fall, Spring"
ENVE 1501,Experiences in Environmental Engineering,Environmental Engineering,1.0,,,Fall
ENVE 3501,Environmental Engineering Fundamentals,Environmental Engineering,3.0,MA 2160 and CH 1112 or (CH 1150 and CH 1151),,Fall
ENVE 3502,Environmental Monitoring and Measurement Analysis,Environmental Engineering,3.0,MA 2160 and CH 1112 or (CH 1150 and CH 1151),,Spring
ENVE 3503,Environmental Engineering,Environmental Engineering,3.0,MA 2160 and CH 1112 or (CH 1150 and CH 1151),,"Fall, Spring, Summer"
ENVE 4501,Environmental Engineering Chemical Processes,Environmental Engineering,4.0,(ENVE 3501 or ENVE 3503) and ENVE 3502 and ENG 3200,,Fall
ENVE 4502,Wastewater Treatment Principles and Design,Environmental Engineering,3.0,ENVE 3501 or ENVE 3503,,Fall
ENVE 4503,Drinking Water Treatment Principles and Design,Environmental Engineering,3.0,ENVE 3501 or ENVE 3503,,Spring
ENVE 4504,Air Quality Engineering and Science,Environmental Engineering,3.0,ENVE 3501 or ENVE 3503,,Fall
ENVE 4505,Surface Water Quality Engineering,Environmental Engineering,3.0,ENVE 3501 or ENVE 3503,,Fall
ENVE 4506,Application of Sustainability Principles to Engineering Practice,Environmental Engineering,3.0,ENVE 3501 or ENVE 3503,,Spring
ENVE 4507,Water Distribution and Wastewater Collection Design,Environmental Engineering,3.0,(ENVE 3501 or ENVE 3503) and CE 3620,,Spring
ENVE 4509,Environmental Process &amp; Simulation,Environmental Engineering,2.0,(ENVE 3501 or ENVE 3503) and ENG 3200 and (ENVE 4502 and ENVE 4503) or ENVE 4508,,Spring
ENVE 4510,Baccalaureate Thesis,Environmental Engineering,3.0,,,"Fall, Spring"
ENVE 4511,Solid and Hazardous Waste Engineering,Environmental Engineering,3.0,ENVE 3501 or ENVE 3503,,Spring
ENVE 4515,Atmospheric Chemistry,Environmental Engineering,3.0,ENVE 4504 or ENVE 4501 or CH 3510,,Spring
ENVE 4518,Aquatic Biogeochemistry,Environmental Engineering,3.0,ENVE 4501(C) and ENVE 4505(C),,Fall - Offered alternate years beginning with the 2014-2015 academic year 
ENVE 4528,Global Biogeochemistry,Environmental Engineering,3.0,ENVE 4501(C),,Fall - Offered alternate years beginning with the 2015-2016 academic year 
ENVE 4930,Environmental Engineering Independent Study,Environmental Engineering,variable to   3.0;  Repeatable to a Max of 3,,,"Fall, Spring, Summer"
ENVE 4990,Special Topics in Environmental Engineering,Environmental Engineering,variable to   3.0;  Repeatable to a Max of 9,,,"Fall, Spring, Summer"
ESL 0210,High Beginner Reading,English as a Second Language,3.0;  May be repeated; Graded Pass/Fail Only,,,On Demand
ESL 0211,High Beginner Vocabulary,English as a Second Language,1.0; Graded Pass/Fail Only,,,On Demand
ESL 0220,High Beginning Writing,English as a Second Language,3.0;  May be repeated; Graded Pass/Fail Only,,,On Demand
ESL 0230,High Beginner Listening and Speaking,English as a Second Language,3.0;  May be repeated; Graded Pass/Fail Only,,,On Demand
ESL 0231,High Beginner Pronunciation,English as a Second Language,1.0; Graded Pass/Fail Only,,,On Demand
ESL 0240,High Beginner Grammar,English as a Second Language,1.0;  May be repeated; Graded Pass/Fail Only,,,"Fall, Spring"
ESL 0290,Beginning Special Topics,English as a Second Language,variable to   6.0;  May be repeated; Graded Pass/Fail Only,,,On Demand
ESL 0310,Intermediate Reading I,English as a Second Language,3.0;  May be repeated; Graded Pass/Fail Only,,,"Fall, Spring, Summer"
ESL 0311,Intermediate Vocabulary I,English as a Second Language,1.0; Graded Pass/Fail Only,,,"Fall, Spring, Summer"
ESL 0320,Intermediate Writing I,English as a Second Language,3.0;  May be repeated; Graded Pass/Fail Only,,,"Fall, Spring, Summer"
ESL 0330,Intermediate Listening and Speaking I,English as a Second Language,3.0;  May be repeated; Graded Pass/Fail Only,,,"Fall, Spring, Summer"
ESL 0331,Intermediate Pronunciation I,English as a Second Language,1.0; Graded Pass/Fail Only,,,"Fall, Spring, Summer"
ESL 0340,Intermediate Communicative Grammar,English as a Second Language,1.0;  May be repeated; Graded Pass/Fail Only,,,"Fall, Spring, Summer"
ESL 0350,Intermediate Reading II,English as a Second Language,3.0; Graded Pass/Fail Only,,,"Fall, Spring, Summer"
ESL 0351,Intermediate Vocabulary II,English as a Second Language,1.0; Graded Pass/Fail Only,,,"Fall, Spring, Summer"
ESL 0360,Intermediate Writing II,English as a Second Language,3.0; Graded Pass/Fail Only,,,"Fall, Spring, Summer"
ESL 0370,Intermediate Listening and Speaking II,English as a Second Language,3.0; Graded Pass/Fail Only,,,"Fall, Spring, Summer"
ESL 0371,Intermediate Pronunciation II,English as a Second Language,1.0; Graded Pass/Fail Only,,,"Fall, Spring, Summer"
ESL 0380,Intermediate Communicative Grammar II,English as a Second Language,1.0; Graded Pass/Fail Only,,,"Fall, Spring, Summer"
ESL 0390,Intermediate Special Topics,English as a Second Language,variable to   6.0;  May be repeated; Graded Pass/Fail Only,,,On Demand
ESL 0399,Intermediate Independent Study,English as a Second Language,variable to   6.0;  May be repeated; Graded Pass/Fail Only,,,On Demand
ESL 0410,Advanced Reading I,English as a Second Language,3.0;  May be repeated; Graded Pass/Fail Only,,,"Fall, Spring, Summer"
ESL 0411,Advanced Vocabulary I,English as a Second Language,1.0; Graded Pass/Fail Only,,,"Fall, Spring, Summer"
ESL 0412,Advanced English for Business,English as a Second Language,1.0;  May be repeated; Graded Pass/Fail Only,,,"Fall, Spring"
ESL 0413,Advanced English for Engineering,English as a Second Language,1.0;  May be repeated; Graded Pass/Fail Only,,,"Fall, Spring"
ESL 0414,Advanced English for Math,English as a Second Language,1.0;  May be repeated; Graded Pass/Fail Only,,,"Fall, Spring"
ESL 0415,Advanced English for Science,English as a Second Language,1.0;  May be repeated; Graded Pass/Fail Only,,,"Fall, Spring"
ESL 0420,Advanced Writing I,English as a Second Language,3.0;  May be repeated; Graded Pass/Fail Only,,,"Fall, Spring, Summer"
ESL 0430,Advanced Listening and Speaking I,English as a Second Language,3.0;  May be repeated; Graded Pass/Fail Only,,,"Fall, Spring, Summer"
ESL 0431,Advanced Pronunciation I,English as a Second Language,1.0; Graded Pass/Fail Only,,,"Fall, Spring, Summer"
ESL 0440,Advanced Communicative Grammar I,English as a Second Language,1.0;  May be repeated; Graded Pass/Fail Only,,,"Fall, Spring, Summer"
ESL 0450,Advanced Reading II,English as a Second Language,3.0; Graded Pass/Fail Only,,,"Fall, Spring, Summer"
ESL 0451,Advanced Vocabulary II,English as a Second Language,1.0; Graded Pass/Fail Only,,,"Fall, Spring, Summer"
ESL 0460,Advanced Writing II,English as a Second Language,3.0; Graded Pass/Fail Only,,,"Fall, Spring, Summer"
ESL 0470,Advanced Listening and Speaking II,English as a Second Language,3.0; Graded Pass/Fail Only,,,"Fall, Spring, Summer"
ESL 0471,Advanced Pronunciation II,English as a Second Language,1.0; Graded Pass/Fail Only,,,"Fall, Spring, Summer"
